customer_sk,kmeans_cluster,segment_label
93587,2,😴 Lost Customers
94487,2,😴 Lost Customers
41554,0,😴 Lost Customers
11428,0,😴 Lost Customers
71910,1,😴 Lost Customers
25480,2,😴 Lost Customers
68814,1,😴 Lost Customers
69157,0,😴 Lost Customers
22602,2,😴 Lost Customers
60350,2,😴 Lost Customers
69230,2,😴 Lost Customers
69128,2,😴 Lost Customers
81774,1,😴 Lost Customers
59105,2,😴 Lost Customers
52909,0,😴 Lost Customers
15406,2,😴 Lost Customers
27558,2,😴 Lost Customers
57649,1,😴 Lost Customers
13334,1,😴 Lost Customers
5535,0,😴 Lost Customers
11155,2,😴 Lost Customers
89784,0,😴 Lost Customers
4757,2,😴 Lost Customers
20414,2,😴 Lost Customers
12310,2,😴 Lost Customers
10402,1,😴 Lost Customers
30166,1,😴 Lost Customers
41505,0,😴 Lost Customers
3795,2,😴 Lost Customers
90921,2,😴 Lost Customers
46730,2,😴 Lost Customers
60745,2,😴 Lost Customers
32154,1,😴 Lost Customers
18563,1,😴 Lost Customers
69745,2,😴 Lost Customers
73593,2,😴 Lost Customers
20741,2,😴 Lost Customers
7219,1,😴 Lost Customers
20130,1,😴 Lost Customers
57873,2,😴 Lost Customers
77796,0,😴 Lost Customers
16464,0,😴 Lost Customers
58332,1,😴 Lost Customers
12947,0,😴 Lost Customers
21238,2,😴 Lost Customers
1450,0,😴 Lost Customers
14455,1,😴 Lost Customers
71487,2,😴 Lost Customers
32283,0,😴 Lost Customers
25615,0,😴 Lost Customers
94356,2,😴 Lost Customers
12449,2,😴 Lost Customers
51731,1,😴 Lost Customers
99047,0,😴 Lost Customers
26552,0,😴 Lost Customers
88041,0,😴 Lost Customers
13691,2,😴 Lost Customers
40576,2,😴 Lost Customers
13166,1,😴 Lost Customers
43834,2,😴 Lost Customers
2096,0,😴 Lost Customers
32736,2,😴 Lost Customers
80254,2,😴 Lost Customers
52001,0,😴 Lost Customers
27195,0,😴 Lost Customers
65191,1,😴 Lost Customers
31938,1,😴 Lost Customers
98315,0,😴 Lost Customers
50788,1,😴 Lost Customers
9133,2,😴 Lost Customers
44444,2,😴 Lost Customers
71462,2,😴 Lost Customers
50276,1,😴 Lost Customers
85472,0,😴 Lost Customers
95816,1,😴 Lost Customers
76541,1,😴 Lost Customers
13873,1,😴 Lost Customers
37255,0,😴 Lost Customers
18883,2,😴 Lost Customers
35311,0,😴 Lost Customers
64756,2,😴 Lost Customers
59092,1,😴 Lost Customers
56282,2,😴 Lost Customers
51826,1,😴 Lost Customers
54134,1,😴 Lost Customers
86870,2,😴 Lost Customers
76428,1,😴 Lost Customers
57776,1,😴 Lost Customers
78541,0,😴 Lost Customers
2418,0,😴 Lost Customers
13982,0,😴 Lost Customers
93190,1,😴 Lost Customers
44150,2,😴 Lost Customers
89733,2,😴 Lost Customers
42990,2,😴 Lost Customers
90050,2,😴 Lost Customers
96171,2,😴 Lost Customers
81530,2,😴 Lost Customers
44438,2,😴 Lost Customers
67477,0,😴 Lost Customers
60967,2,😴 Lost Customers
41520,2,😴 Lost Customers
46661,2,😴 Lost Customers
71531,2,😴 Lost Customers
29172,2,😴 Lost Customers
16704,2,😴 Lost Customers
68021,1,😴 Lost Customers
12304,1,😴 Lost Customers
74432,0,😴 Lost Customers
69151,2,😴 Lost Customers
50729,2,😴 Lost Customers
67572,2,😴 Lost Customers
96495,0,😴 Lost Customers
36134,1,😴 Lost Customers
4380,0,😴 Lost Customers
9039,2,😴 Lost Customers
7577,2,😴 Lost Customers
58154,0,😴 Lost Customers
84667,1,😴 Lost Customers
32289,2,😴 Lost Customers
35441,0,😴 Lost Customers
2675,2,😴 Lost Customers
6524,2,😴 Lost Customers
9609,0,😴 Lost Customers
98717,1,😴 Lost Customers
84901,1,😴 Lost Customers
73042,0,😴 Lost Customers
6177,2,😴 Lost Customers
19672,0,😴 Lost Customers
3537,0,😴 Lost Customers
89981,0,😴 Lost Customers
47026,1,😴 Lost Customers
37970,0,😴 Lost Customers
18176,1,😴 Lost Customers
60646,0,😴 Lost Customers
16502,0,😴 Lost Customers
48815,2,😴 Lost Customers
22805,0,😴 Lost Customers
56868,2,😴 Lost Customers
14118,2,😴 Lost Customers
37907,1,😴 Lost Customers
76297,2,😴 Lost Customers
82119,1,😴 Lost Customers
78142,0,😴 Lost Customers
40747,1,😴 Lost Customers
1399,2,😴 Lost Customers
34431,0,😴 Lost Customers
18411,0,😴 Lost Customers
98708,0,😴 Lost Customers
26567,2,😴 Lost Customers
4110,1,😴 Lost Customers
8698,0,😴 Lost Customers
18071,2,😴 Lost Customers
39032,2,😴 Lost Customers
64860,1,😴 Lost Customers
98171,2,😴 Lost Customers
87759,0,😴 Lost Customers
71719,1,😴 Lost Customers
16164,1,😴 Lost Customers
36296,0,😴 Lost Customers
45622,2,😴 Lost Customers
29494,1,😴 Lost Customers
35536,2,😴 Lost Customers
25074,2,😴 Lost Customers
42315,2,😴 Lost Customers
77633,1,😴 Lost Customers
93911,2,😴 Lost Customers
10032,1,😴 Lost Customers
93879,0,😴 Lost Customers
97126,0,😴 Lost Customers
86175,2,😴 Lost Customers
78738,2,😴 Lost Customers
27244,2,😴 Lost Customers
47813,2,😴 Lost Customers
44535,2,😴 Lost Customers
40536,2,😴 Lost Customers
89759,2,😴 Lost Customers
22733,1,😴 Lost Customers
79880,2,😴 Lost Customers
87151,2,😴 Lost Customers
72759,1,😴 Lost Customers
26077,1,😴 Lost Customers
39898,2,😴 Lost Customers
31142,0,😴 Lost Customers
28118,1,😴 Lost Customers
50725,0,😴 Lost Customers
30806,2,😴 Lost Customers
27438,2,😴 Lost Customers
45140,0,😴 Lost Customers
30244,1,😴 Lost Customers
23036,2,😴 Lost Customers
62131,2,😴 Lost Customers
44101,0,😴 Lost Customers
27641,0,😴 Lost Customers
3440,0,😴 Lost Customers
65389,1,😴 Lost Customers
24985,1,😴 Lost Customers
16839,2,😴 Lost Customers
71396,1,😴 Lost Customers
87346,2,😴 Lost Customers
90859,2,😴 Lost Customers
9474,2,😴 Lost Customers
94061,2,😴 Lost Customers
74593,1,😴 Lost Customers
57553,0,😴 Lost Customers
69737,2,😴 Lost Customers
25173,1,😴 Lost Customers
76421,2,😴 Lost Customers
72526,1,😴 Lost Customers
27753,1,😴 Lost Customers
62211,2,😴 Lost Customers
95640,2,😴 Lost Customers
69586,2,😴 Lost Customers
52007,2,😴 Lost Customers
96390,2,😴 Lost Customers
10454,2,😴 Lost Customers
39849,1,😴 Lost Customers
12574,1,😴 Lost Customers
1724,0,😴 Lost Customers
64899,2,😴 Lost Customers
33988,2,😴 Lost Customers
67625,2,😴 Lost Customers
56284,2,😴 Lost Customers
93220,2,😴 Lost Customers
57062,1,😴 Lost Customers
63693,0,😴 Lost Customers
12170,0,😴 Lost Customers
68236,2,😴 Lost Customers
14831,0,😴 Lost Customers
14293,0,😴 Lost Customers
81729,2,😴 Lost Customers
16968,1,😴 Lost Customers
83284,2,😴 Lost Customers
22942,2,😴 Lost Customers
23352,2,😴 Lost Customers
57874,2,😴 Lost Customers
24033,2,😴 Lost Customers
87962,2,😴 Lost Customers
95391,2,😴 Lost Customers
67417,0,😴 Lost Customers
46433,2,😴 Lost Customers
13245,0,😴 Lost Customers
55569,1,😴 Lost Customers
1784,2,😴 Lost Customers
1127,0,😴 Lost Customers
79940,2,😴 Lost Customers
69530,0,😴 Lost Customers
77530,2,😴 Lost Customers
78948,1,😴 Lost Customers
40242,2,😴 Lost Customers
59140,2,😴 Lost Customers
93395,2,😴 Lost Customers
77231,2,😴 Lost Customers
97091,2,😴 Lost Customers
71816,2,😴 Lost Customers
34448,2,😴 Lost Customers
44500,2,😴 Lost Customers
84269,2,😴 Lost Customers
82816,2,😴 Lost Customers
32348,2,😴 Lost Customers
78603,2,😴 Lost Customers
63779,2,😴 Lost Customers
56215,2,😴 Lost Customers
93872,0,😴 Lost Customers
48018,2,😴 Lost Customers
80941,2,😴 Lost Customers
24811,1,😴 Lost Customers
78349,2,😴 Lost Customers
69818,2,😴 Lost Customers
52752,2,😴 Lost Customers
97887,2,😴 Lost Customers
72196,2,😴 Lost Customers
32453,0,😴 Lost Customers
47841,2,😴 Lost Customers
26641,2,😴 Lost Customers
71552,2,😴 Lost Customers
72819,2,😴 Lost Customers
11363,2,😴 Lost Customers
50426,1,😴 Lost Customers
45836,1,😴 Lost Customers
91232,2,😴 Lost Customers
27324,2,😴 Lost Customers
91006,0,😴 Lost Customers
79559,1,😴 Lost Customers
9047,0,😴 Lost Customers
61334,0,😴 Lost Customers
28225,2,😴 Lost Customers
30764,1,😴 Lost Customers
395,1,😴 Lost Customers
98261,1,😴 Lost Customers
79198,2,😴 Lost Customers
98620,2,😴 Lost Customers
31785,0,😴 Lost Customers
17327,0,😴 Lost Customers
87041,2,😴 Lost Customers
97709,2,😴 Lost Customers
58756,0,😴 Lost Customers
92014,1,😴 Lost Customers
74953,0,😴 Lost Customers
73554,2,😴 Lost Customers
89313,0,😴 Lost Customers
44604,0,😴 Lost Customers
1007,2,😴 Lost Customers
98025,2,😴 Lost Customers
48879,0,😴 Lost Customers
94237,2,😴 Lost Customers
57884,2,😴 Lost Customers
82942,1,😴 Lost Customers
60882,0,😴 Lost Customers
53741,1,😴 Lost Customers
73256,2,😴 Lost Customers
42701,2,😴 Lost Customers
15428,2,😴 Lost Customers
91260,1,😴 Lost Customers
68384,2,😴 Lost Customers
22227,2,😴 Lost Customers
41063,2,😴 Lost Customers
84929,2,😴 Lost Customers
11288,2,😴 Lost Customers
12321,0,😴 Lost Customers
2513,0,😴 Lost Customers
31345,1,😴 Lost Customers
17668,1,😴 Lost Customers
86312,0,😴 Lost Customers
79058,0,😴 Lost Customers
88797,1,😴 Lost Customers
62209,0,😴 Lost Customers
19304,2,😴 Lost Customers
68005,2,😴 Lost Customers
51661,2,😴 Lost Customers
95739,1,😴 Lost Customers
84731,0,😴 Lost Customers
12750,1,😴 Lost Customers
26948,1,😴 Lost Customers
61227,2,😴 Lost Customers
29880,2,😴 Lost Customers
39127,2,😴 Lost Customers
93931,2,😴 Lost Customers
75654,2,😴 Lost Customers
614,2,😴 Lost Customers
95956,1,😴 Lost Customers
93886,0,😴 Lost Customers
9118,0,😴 Lost Customers
80977,2,😴 Lost Customers
22120,2,😴 Lost Customers
82545,0,😴 Lost Customers
46875,2,😴 Lost Customers
65857,0,😴 Lost Customers
98568,1,😴 Lost Customers
42251,1,😴 Lost Customers
8448,0,😴 Lost Customers
74882,2,😴 Lost Customers
38529,2,😴 Lost Customers
34930,2,😴 Lost Customers
9942,2,😴 Lost Customers
96046,0,😴 Lost Customers
29361,1,😴 Lost Customers
4447,2,😴 Lost Customers
53725,0,😴 Lost Customers
86432,2,😴 Lost Customers
5750,2,😴 Lost Customers
94032,2,😴 Lost Customers
41769,0,😴 Lost Customers
16047,0,😴 Lost Customers
78124,2,😴 Lost Customers
3301,1,😴 Lost Customers
18767,0,😴 Lost Customers
47358,0,😴 Lost Customers
13723,2,😴 Lost Customers
52235,2,😴 Lost Customers
93888,1,😴 Lost Customers
93878,1,😴 Lost Customers
81675,0,😴 Lost Customers
65157,1,😴 Lost Customers
26852,1,😴 Lost Customers
69658,1,😴 Lost Customers
63461,1,😴 Lost Customers
63349,1,😴 Lost Customers
43841,1,😴 Lost Customers
60307,1,😴 Lost Customers
46709,2,😴 Lost Customers
68667,2,😴 Lost Customers
17460,1,😴 Lost Customers
19793,0,😴 Lost Customers
19067,0,😴 Lost Customers
76496,2,😴 Lost Customers
40082,0,😴 Lost Customers
48753,2,😴 Lost Customers
41970,2,😴 Lost Customers
82004,2,😴 Lost Customers
65950,1,😴 Lost Customers
40735,1,😴 Lost Customers
50541,2,😴 Lost Customers
83206,0,😴 Lost Customers
72268,1,😴 Lost Customers
96244,2,😴 Lost Customers
30178,0,😴 Lost Customers
84924,0,😴 Lost Customers
85965,0,😴 Lost Customers
14747,2,😴 Lost Customers
70890,2,😴 Lost Customers
36758,1,😴 Lost Customers
96885,0,😴 Lost Customers
35788,0,😴 Lost Customers
2019,0,😴 Lost Customers
92927,1,😴 Lost Customers
43524,1,😴 Lost Customers
92732,2,😴 Lost Customers
77268,2,😴 Lost Customers
80438,0,😴 Lost Customers
74016,1,😴 Lost Customers
69011,2,😴 Lost Customers
30671,2,😴 Lost Customers
43519,2,😴 Lost Customers
55914,1,😴 Lost Customers
18926,2,😴 Lost Customers
46857,2,😴 Lost Customers
5314,2,😴 Lost Customers
11698,2,😴 Lost Customers
80644,1,😴 Lost Customers
46742,2,😴 Lost Customers
84057,2,😴 Lost Customers
53578,0,😴 Lost Customers
88170,1,😴 Lost Customers
41960,1,😴 Lost Customers
60507,1,😴 Lost Customers
14817,2,😴 Lost Customers
81004,2,😴 Lost Customers
2144,2,😴 Lost Customers
65500,0,😴 Lost Customers
47411,2,😴 Lost Customers
85729,0,😴 Lost Customers
39963,2,😴 Lost Customers
86132,2,😴 Lost Customers
18167,0,😴 Lost Customers
47767,2,😴 Lost Customers
55623,1,😴 Lost Customers
56552,2,😴 Lost Customers
91193,2,😴 Lost Customers
38531,1,😴 Lost Customers
71875,2,😴 Lost Customers
22384,2,😴 Lost Customers
74701,1,😴 Lost Customers
79462,1,😴 Lost Customers
57965,0,😴 Lost Customers
95902,0,😴 Lost Customers
47094,2,😴 Lost Customers
9272,1,😴 Lost Customers
54372,2,😴 Lost Customers
17299,1,😴 Lost Customers
31104,2,😴 Lost Customers
61867,0,😴 Lost Customers
99086,2,😴 Lost Customers
15740,1,😴 Lost Customers
29524,2,😴 Lost Customers
83319,2,😴 Lost Customers
75097,1,😴 Lost Customers
45719,2,😴 Lost Customers
25750,2,😴 Lost Customers
96105,0,😴 Lost Customers
12835,1,😴 Lost Customers
59625,2,😴 Lost Customers
29434,2,😴 Lost Customers
84367,2,😴 Lost Customers
42635,0,😴 Lost Customers
238,0,😴 Lost Customers
27217,1,😴 Lost Customers
32436,1,😴 Lost Customers
30555,0,😴 Lost Customers
28961,0,😴 Lost Customers
7083,0,😴 Lost Customers
91762,1,😴 Lost Customers
6236,2,😴 Lost Customers
66110,2,😴 Lost Customers
38591,2,😴 Lost Customers
73051,0,😴 Lost Customers
60868,2,😴 Lost Customers
86406,2,😴 Lost Customers
38770,0,😴 Lost Customers
70297,1,😴 Lost Customers
17153,2,😴 Lost Customers
45576,0,😴 Lost Customers
96667,0,😴 Lost Customers
55769,1,😴 Lost Customers
88863,2,😴 Lost Customers
48462,1,😴 Lost Customers
60810,1,😴 Lost Customers
75679,0,😴 Lost Customers
94580,0,😴 Lost Customers
23125,2,😴 Lost Customers
13714,0,😴 Lost Customers
9193,2,😴 Lost Customers
44652,2,😴 Lost Customers
5562,2,😴 Lost Customers
61887,2,😴 Lost Customers
7376,1,😴 Lost Customers
21881,0,😴 Lost Customers
87880,2,😴 Lost Customers
14564,2,😴 Lost Customers
97382,2,😴 Lost Customers
55099,0,😴 Lost Customers
65922,2,😴 Lost Customers
26742,1,😴 Lost Customers
72784,0,😴 Lost Customers
61135,2,😴 Lost Customers
35196,0,😴 Lost Customers
54461,0,😴 Lost Customers
98591,0,😴 Lost Customers
14766,0,😴 Lost Customers
35353,0,😴 Lost Customers
75304,0,😴 Lost Customers
91270,0,😴 Lost Customers
44433,2,😴 Lost Customers
67032,0,😴 Lost Customers
62182,2,😴 Lost Customers
91978,1,😴 Lost Customers
69503,2,😴 Lost Customers
89833,2,😴 Lost Customers
48142,2,😴 Lost Customers
59147,0,😴 Lost Customers
40588,0,😴 Lost Customers
93664,0,😴 Lost Customers
45205,0,😴 Lost Customers
33598,0,😴 Lost Customers
33812,0,😴 Lost Customers
16138,0,😴 Lost Customers
44794,0,😴 Lost Customers
35655,0,😴 Lost Customers
48872,2,😴 Lost Customers
37721,1,😴 Lost Customers
65150,1,😴 Lost Customers
84097,2,😴 Lost Customers
30643,1,😴 Lost Customers
34158,0,😴 Lost Customers
54208,0,😴 Lost Customers
93958,0,😴 Lost Customers
67815,2,😴 Lost Customers
59820,2,😴 Lost Customers
29843,0,😴 Lost Customers
70234,2,😴 Lost Customers
95891,2,😴 Lost Customers
30690,2,😴 Lost Customers
77116,0,😴 Lost Customers
72533,2,😴 Lost Customers
89556,1,😴 Lost Customers
42044,0,😴 Lost Customers
48038,0,😴 Lost Customers
66709,2,😴 Lost Customers
50557,1,😴 Lost Customers
70758,1,😴 Lost Customers
